subject_ID,p_duration,p_country,p_languages,p_age,p_gender,p_race,p_parent,p_inj_experienced,condition,rating,injury,character,race,age,gender,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,4,bee sting,charlotte,w,a,f,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,0,soup,rachel,w,a,f,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,5,broken arm,sydney,w,c,f,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,david,w,a,m,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,paper cut,kyle,w,c,m,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,skinned knees,marissa,b,a,f,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,bruised leg,jessica,b,c,f,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,splinter,chris,b,a,m,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,bee sting,tyler,b,c,m,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,1,soup,dominic,b,c,m,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,broken arm,jacob,b,a,m,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,1,stomach ache,kendall,b,c,f,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,0,paper cut,sarah,b,a,f,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,1,skinned knees,wyatt,w,c,m,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,bruised leg,robert,w,a,m,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,splinter,tara,w,c,f,,,,,,,,,
7a,437,Mexico,Spanish,23,male,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,bee sting,charlotte,w,a,f,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,4,soup,rachel,w,a,f,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,7,broken arm,sydney,w,c,f,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,2,stomach ache,david,w,a,m,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,2,paper cut,kyle,w,c,m,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,5,skinned knees,marissa,b,a,f,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,6,bruised leg,jessica,b,c,f,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,3,splinter,chris,b,a,m,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,4,bee sting,tyler,b,c,m,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,5,soup,dominic,b,c,m,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,7,broken arm,jacob,b,a,m,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,3,stomach ache,kendall,b,c,f,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,3,paper cut,sarah,b,a,f,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,5,skinned knees,wyatt,w,c,m,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,6,bruised leg,robert,w,a,m,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,4,splinter,tara,w,c,f,,,,,,,,,
8a,517,Mexico,Spanish,20,female,hispanic_latino,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,4,bee sting,charlotte,w,a,f,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,soup,rachel,w,a,f,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,6,broken arm,sydney,w,c,f,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,stomach ache,david,w,a,m,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,paper cut,kyle,w,c,m,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,skinned knees,marissa,b,a,f,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,2,bruised leg,jessica,b,c,f,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,splinter,chris,b,a,m,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,5,bee sting,tyler,b,c,m,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,soup,dominic,b,c,m,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,5,broken arm,jacob,b,a,m,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,stomach ache,kendall,b,c,f,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,3,paper cut,sarah,b,a,f,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,skinned knees,wyatt,w,c,m,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,1,bruised leg,robert,w,a,m,,,,,,,,,
9a,452,Italy,Italian,23,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg,bee sting",1,4,splinter,tara,w,c,f,,,,,,,,,
